Asset_Subtype,Component_Name,Component_Type
10.5m Adepole combination mast arm,Pole Main,Main
10.5m Adepole combination mast arm,Wifi Supply Point,Main
10.5m Adepole combination pole,Pole Main,Main
10.5m Adepole combination pole,Wifi Supply Point,Main
10.5m combination,Pole Main,Main
10.5m combination,Wifi Supply Point,Main
10.5m combination mast arm,Pole Main,Main
10.5m combination mast arm,Wifi Supply Point,Main
10.5m combination mast arm(CMA),Pole Main,Main
10.5m combination mast arm(CMA),Wifi Supply Point,Main
100,Conduit,Main
2 x 100,Conduit,Main
3 quarters pole,Pole Main,Main
40,Cable,Main
40,Conduit,Main
50,Conduit,Main
7.0m Column,Pole,Main
80,Conduit,Main
96 Core,Fibre,Main
9m combination,Pole Main,Main
9m combination,Wifi Supply Point,Main
9m combination mast arm (CMA),Pole Main,Main
9m combination mast arm (CMA),Wifi Supply Point,Main
ACC Type 1 - Aluminium and Glass,Super Structure Main,Main
ACC Type 3 - Aggregate,Super Structure Main,Main
ACC Type 4 - Single Side Standard Length,Super Structure Main,Main
Accessible Junction Box,Stormwater Pit Main,Main
Accessible Ramp,Formation,04 Working Platform
Accessible Ramp,Pavement Base,02 Intermediate Course
Accessible Ramp,Surface,01 Wearing Course
Activity Hub,Softfall - Rubberised,Softfall
Adelaide Bridge Fixing,LE Light Pole,LE Light Pole
Adelaide Suite Style,Bollard Main,Main
Adshel - Non-advertising Single Side Double Length,Super Structure Main,Main
Adshel - Non-advertising Standard Solar,Super Structure Main,Main
Advisory Large Sign,Custom Sign Main,Main
Advisory Small Sign,Custom Sign Main,Main
Aerator,Aerator Main,Main
Arbour Structure,Other Structures Main,Main
Architectural Lighting Pole - 5.3m,LE Light Pole,LE Light Pole
Architectural Lighting Pole - 9.0m,LE Light Pole,LE Light Pole
Architectural Street Light,LE Luminaire,LE Luminaire
Architectural Street Light,LE Luminaire Cable,LE Luminaire Cable
Architectural Street Light,LE Luminaire Conduit,LE Luminaire Conduit
Art,Playground Equipment Main,Main
Art Rack,Bike Rack Main,Main
Artefact,Archives Main,Main
Attachment,Minor Plant Main,Main
Attachment,Miscellaneous Main,Main
Audio Tactile,Audio Tactile,Audio Tactile
Back Flow,Back Flow Main,Main
Back of Pole Light - Pendant,LE Luminaire,LE Luminaire
Back of Pole Light - Street Light,LE Luminaire,LE Luminaire
Back of Pole Light - Street Light - Prestige,LE Luminaire,LE Luminaire
Back of Pole Light - Traffic,LE Luminaire,LE Luminaire
Barrier Fencing,Fence Main,Main
Basketball Backboard,Other Structures Main,Main
Basketball Court - Acrylic Surface,Acrylic Surface,Main
Basketball Court - Acrylic Surface,Asphalt Layer,Main
Basketball Court - Acrylic Surface,Rubble Base,Main
Basketball Court - Asphalt Surface,Asphalt Layer,Main
Basketball Court - Asphalt Surface,Rubble Base,Main
Basketball Ring,Basketball Ring,Main
Bench,Picnic Table Main,Main
Bike Repair Station,Bike Rack Main,Main
Bike Trailer,Main,Main
Bin Mounted Directional Sign,Custom Sign Main,Main
Bin Stand,Bin Main,Main
Bio-retention,Basins Main,Main
BioSeparator,Main,Main
BMX Track,BMX Track - Advanced,Main
BMX Track,BMX Track - Intermediate,Main
BMX Track,BMX Track - Pump Track,Main
BMX Track - Beginner,BMX Track - Beginner,Main
Boat - Motor,Major Plant Main,Main
Boat Landing,Deck,Deck
Boat Landing,Sub-Structure Main,Sub-Structure Main
Boat Landing,Super Structure Main,Super Structure Main
Boat Ramp,Sub-Structure Main,Sub-Structure Main
Bollard,LE Light Pole,LE Light Pole
Bollard Fence Linked,Fence Main,Main
Bollard Fence Unlinked,Fence Main,Main
Bollard Lighting Switch,LE Bollard Lighting Switch,LE Bollard Lighting Switch
Bollards,Main,Main
Boom Gate,Main,Main
Boom Gate - Twin Lane,Gate Main,Main
Border,Seat Main,Main
Bows / Garlands,Main,Main
Box,Culvert Main,Culvert Main
Box,Culvert Main,Main
Box,Stormwater Drain Main,Main
Brace Arm Style,Gate Main,Main
Braced Steel Frame and Bars,Gate Lock,Ancillary
Braced Steel Frame and Bars,Gate Main,Main
Braced Timber Ranch Style,Gate Main,Main
Bracket Only,Bracket,Bracket
Brick Paver on Granular Pavement,01 Wearing Course,01 Wearing Course
Brick Paver on Granular Pavement,03 Base Course,03 Base Course
Bud Lighting,Luminaire,Luminaire
Building,Archives Main,Main
Building Identification Sign,Custom Sign Main,Main
Building Identification Sign Small,Custom Sign Main,Main
Bus Stop,Super Structure Main,Main
Business Sign Plinth Short,Custom Sign Main,Main
Butt-Out,Bin Main,Main
C-Bus System - Large,Lighting Control,Lighting Control
C-Bus System - Small,Lighting Control,Lighting Control
Cables and Conduits - Footpaths 29 core,Cable,Cable
Cables and Conduits - Footpaths 29 core,Conduit,Conduit
Cables and Conduits - Roads 63 core,Cable,Cable
Cables and Conduits - Roads 63 core,Conduit,Conduit
Cables and Conduits - Tramline 63 Core,Cable,Cable
Cables and Conduits - Tramline 63 Core,Conduit,Conduit
Cabling,Main,Main
Camera,Main,Main
Car Park Equipment,Main,Main
Caravan,Major Plant Main,Main
Carousels,Playground Equipment Main,Main
Carriageway,01 Wearing Course,01 Wearing Course
Carriageway,02 Intermediate Course,02 Intermediate Course
Carriageway,03 Base Course,03 Base Course
Catenary Downlight - Gouger Street,Catenary Luminaire,Catenary Luminaire
Catenary Downlight - Rundle Mall,Catenary Luminaire,Catenary Luminaire
Catenary Electrical Cabling - Gouger Street (16m per Light),Catenary Electrical Cabling,Catenary Electrical Cabling
Catenary Electrical Cabling - Rundle Mall (6m per Light),Catenary Electrical Cabling,Catenary Electrical Cabling
Catenary Festoon Lighting - Ebenezer Place,Catenary Linear Lighting,Catenary Linear Lighting
Catenary Festoon Lighting - Gresham Place,Catenary Linear Lighting,Catenary Linear Lighting
Catenary Festoon Lighting - O'Connell Street Laneway,Catenary Linear Lighting,Catenary Linear Lighting
Catenary Festoon Lighting - Peel Street,Catenary Linear Lighting,Catenary Linear Lighting
Catenary Festoon Lighting - Rundle Street,Catenary Linear Lighting,Catenary Linear Lighting
Catenary Festoon Lighting - Solomon Street,Catenary Linear Lighting,Catenary Linear Lighting
Catenary Festoon Lighting - Tavistock Lane,Catenary Linear Lighting,Catenary Linear Lighting
Catenary Festoon Lighting - Vardon Avenue,Catenary Linear Lighting,Catenary Linear Lighting
Catenary Festoon Lighting - Vaughan Place,Catenary Linear Lighting,Catenary Linear Lighting
Catenary Festoon Lighting - Victoria Sqaure - Across Lawn,Catenary Linear Lighting,Catenary Linear Lighting
Catenary Festoon Lighting - Victoria Square Arbour - East,Catenary Linear Lighting,Catenary Linear Lighting
Catenary Festoon Lighting - Victoria Square Arbour - West,Catenary Linear Lighting,Catenary Linear Lighting
Catenary Pole - Gouger Street,Catenary Pole,Catenary Pole
Catenary Pole - Gouger Street,Primary Luminaire,Luminaire
Catenary Pole - Rundle Mall,Catenary Pole,Catenary Pole
Catenary Pole - Rundle Mall,Primary Luminaire,Luminaire
Catenary Pole - Solomon Street,Catenary Pole,Catenary Pole
Catenary System - Ebenezer Place,Catenary System,Catenary System
Catenary System - Gouger Street,Catenary System,Catenary System
Catenary System - Gresham Place,Catenary System,Catenary System
Catenary System - O'Connell Street Laneway,Catenary System,Catenary System
Catenary System - Peel Street,Catenary System,Catenary System
Catenary System - Rundle Mall,Catenary System,Catenary System
Catenary System - Rundle Street,Catenary System,Catenary System
Catenary System - Solomon Street,Catenary System,Catenary System
Catenary System - Tavistock Lane,Catenary System,Catenary System
Catenary System - Vardon Avenue,Catenary System,Catenary System
Catenary System - Vaughan Place,Catenary System,Catenary System
Catenary System - Victoria Square - Across Lawn,Catenary System,Catenary System
CCTV Pole - Adepole 5m,LE CCTV Pole,LE CCTV Pole
CCTV Pole - Stepped Post Top 3.5m,LE CCTV Pole,LE CCTV Pole
Central Market Precinct,Electrical Services,Electrical
Central Market Precinct,Fire Services,Fire
Central Market Precinct,Fitout and Fittings,Fitout and Fittings
Central Market Precinct,Hydraulic Services,Hydraulics
Central Market Precinct,Mechanical Services,Mechanical
Central Market Precinct,Roof Structure,Roof
Central Market Precinct,Structure,Main
Central Market Precinct,Technology,Technology
Central Market Precinct,Vertical Transport Services,Transport Service
Chain,Gate Main,Main
Chambers,Main,Main
Chess Set - Concrete,Concrete Base,Main
Christmas Trees,Main,Main
Circular,Bike Rack Main,Main
Climber,Playground Equipment Main,Main
Clock,Archives Main,Main
Commercial Buildings,Electrical Services,Electrical
Commercial Buildings,Fire Services,Fire
Commercial Buildings,Fitout and Fittings,Fitout and Fittings
Commercial Buildings,Hydraulic Services,Hydraulics
Commercial Buildings,Mechanical Services,Mechanical
Commercial Buildings,Roof Structure,Roof
Commercial Buildings,Structure,Main
Commercial Buildings,Technology,Technology
Commercial Buildings,Vertical Transport Services,Transport Service
Comms - White,Cable,Main
Comms - White,CCTV Cable and Conduit,Main
Comms - White,Conduit,Main
Comms - White Spare,Conduit,Main
Communication Room,Main,Main
Community - Libraries and Community Halls,Electrical Services,Electrical
Community - Libraries and Community Halls,Fire Services,Fire
Community - Libraries and Community Halls,Fitout and Fittings,Fitout and Fittings
Community - Libraries and Community Halls,Hydraulic Services,Hydraulics
Community - Libraries and Community Halls,Mechanical Services,Mechanical
Community - Libraries and Community Halls,Roof Structure,Roof
Community - Libraries and Community Halls,Structure,Main
Community - Libraries and Community Halls,Technology,Technology
Community - Libraries and Community Halls,Vertical Transport Services,Transport Service
Community - Park Lands Businesses,Electrical Services,Electrical
Community - Park Lands Businesses,Fire Services,Fire
Community - Park Lands Businesses,Fitout and Fittings,Fitout and Fittings
Community - Park Lands Businesses,Hydraulic Services,Hydraulics
Community - Park Lands Businesses,Mechanical Services,Mechanical
Community - Park Lands Businesses,Roof Structure,Roof
Community - Park Lands Businesses,Structure,Main
Community - Park Lands Businesses,Vertical Transport Services,Transport Service
Community - Park Lands Sports Clubs and Grandstands,Electrical Services,Electrical
Community - Park Lands Sports Clubs and Grandstands,Fire Services,Fire
Community - Park Lands Sports Clubs and Grandstands,Fitout and Fittings,Fitout and Fittings
Community - Park Lands Sports Clubs and Grandstands,Hydraulic Services,Hydraulics
Community - Park Lands Sports Clubs and Grandstands,Mechanical Services,Mechanical
Community - Park Lands Sports Clubs and Grandstands,Roof Structure,Roof
Community - Park Lands Sports Clubs and Grandstands,Structure,Main
Community - Park Lands Sports Clubs and Grandstands,Technology,Technology
Community - Park Lands Sports Clubs and Grandstands,Vertical Transport Services,Transport Service
Compaction Equipment,Major Plant Main,Main
Compaction Equipment,Minor Plant Main,Main
Compressor,Major Plant Main,Main
Concrete,Planter Box Main,Main
Concrete and Mosaic,Planter Box Main,Main
Concrete Cylindrical,Bollard Main,Main
Concrete Mixer,Minor Plant Main,Main
Conduit - 100mm,SCAT Conduit,SCAT Conduit
Consumer Main,Cable,Main
Consumer Main,Conduit,Main
Containers,Main,Main
Controller,Controller and Valve,Main
Controller,Controller Main,Main
Controller,Irrigation Main,Main
Controller,Laterals,Main
Controller,Mainline,Main
Controller,Master Valve,Main
Copper Cable - 20 Pair,SCAT Cable,SCAT Cable
Copper Cable - 50 Pair,SCAT Cable,SCAT Cable
Corporation,Electrical Services,Electrical
Corporation,Fire Services,Fire
Corporation,Fitout and Fittings,Fitout and Fittings
Corporation,Hydraulic Services,Hydraulics
Corporation,Mechanical Services,Mechanical
Corporation,Roof Structure,Roof
Corporation,Structure,Main
Corporation,Technology,Technology
Creek,Creek Main,Main
Crib Wall,Retaining Wall Main,Main
Cricket Net,Cricket Net Main,Main
Cricket Pitch - Concrete,Concrete Base,Main
Crown Land,Crown Land,Main
Crown Land,Land,Main
Cultural,Custom Sign Main,Main
Culvert,Stormwater Drain Main,Main
Culvert Footbridge,Abutment / Wingwall 1,Wingwall
Culvert Footbridge,Abutments,Sub-Structure Other
Culvert Footbridge,Cross Beams/Floor Beams,Super Structure Other
Culvert Footbridge,Culvert No. 1,Culvert Main
Culvert Footbridge,Deck / Wearing Surface,01 Wearing Course
Culvert Footbridge,Handrails,Rail
Culvert Footbridge,Handrails 1,Rail
Culvert Footbridge,Headwall 1,Headwall
Culvert Footbridge,Open Girders,Super Structure Other
Culvert Footbridge,Span 1 Deck / Wearing Surface,Bridge Deck
Culvert Footbridge,Wearing Surface,01 Wearing Course
Curved,Drinking Fountain Main,Main
Custom Sign,Custom Sign Main,Main
Cycle Bollard,Custom Sign Main,Main
Cycle Detector-Induction,Detector Loop,Detector Loop
Cycle Directional Panel,Custom Sign Main,Main
CycleWay,Formation,04 Working Platform
CycleWay,Pavement Base,02 Intermediate Course
CycleWay,Surface,01 Wearing Course
Cyclist Push Button,Push Button,Push Button
D Pit,Pit Main,Main
Data,Main,Main
Decorative Lighting,Main,Main
Defibrillator,Defibrillator Main,Main
Detention,Basins Main,Main
Dining Furniture,Main,Main
Disk Storage,Main,Main
Display,Main,Main
Display Board - Portable,Major Plant Main,Main
Dog Dispenser,Bin Main,Main
Double Braced Steel,Gate Main,Main
Double Catchpit,Stormwater Pit Main,Main
Double D Pit,Pit Main,Main
Double Gatic,Pit Main,Main
Double Steel Bar,Gate Main,Main
Downlight,LE Luminaire,LE Luminaire
Downlight,LE Luminaire Cable,LE Luminaire Cable
Drain Cleaner,Minor Plant Main,Main
Drip in Line,Backflow,Backflow
Drip in Line,Backflow,Main
