Component_Name,Component_Type,Component_Financial_Class,Component_Financial_Subclass
01 Wearing Course,01 Wearing Course,Infrastructure,Roads
02 Intermediate Course,02 Intermediate Course,Infrastructure,Roads
03 Base Course,03 Base Course,Infrastructure,Roads
04 Working Platform,04 Working Platform,Infrastructure,Roads
Above Ground Switchboard,Main,Infrastructure,Lighting and Electrical
Abutment,Sub-Structure Other,Infrastructure,Bridges
Abutment / Wingwall 1,Wingwall,Infrastructure,Bridges
Abutment 1,Sub-Structure Other,Infrastructure,Bridges
Abutment 2,Sub-Structure Other,Infrastructure,Bridges
Abutments,Sub-Structure Other,Infrastructure,Bridges
Access Ladders,Main,Infrastructure,Water Infrastructure
Access Lids,Main,Infrastructure,Water Infrastructure
Access Ramp Main,Main,Infrastructure,Footpaths
Acrylic Surface,Main,Park Land Improvements,Park Land Improvements
Aerator Main,Main,Infrastructure,Water Infrastructure
Anchor Wall,Anchor,Infrastructure,Water Infrastructure
Anchor Wall,Main,Infrastructure,Water Infrastructure
Anti-throw screen,Super Structure Other,Infrastructure,Bridges
Apron,Apron,Infrastructure,Water Infrastructure
Apron,Super Structure Other,Infrastructure,Bridges
Arches,Super Structure Other,Infrastructure,Bridges
Archives Main,Main,Other,Civic Collection
Artistic Pavement Marking,Main,Infrastructure,"Public Art, Statues and Monuments"
Artwork Lighting Main,Main,Infrastructure,"Public Art, Statues and Monuments"
Artwork Lighting Main,Main,Park Land Improvements,Park Land Improvements
Artwork Main,Main,Infrastructure,"Public Art, Statues and Monuments"
Asphalt Layer,Main,Park Land Improvements,Park Land Improvements
Audio Tactile,Audio Tactile,Infrastructure,Traffic Signals
Back Flow Main,Main,Park Land Improvements,Park Land Improvements
Backflow,Backflow,Park Land Improvements,Park Land Improvements
Backflow,Main,Park Land Improvements,Park Land Improvements
Basins Main,Main,Infrastructure,Water Infrastructure
Basketball Ring,Main,Park Land Improvements,Park Land Improvements
Baskets/Net,Main,Infrastructure,Water Infrastructure
Batter Protection,Sub-Structure Other,Infrastructure,Bridges
Batter Protection 1,Sub-Structure Other,Infrastructure,Bridges
