Asset_Subtype,Component_Name,Component_Type,Service_Criteria_Type
10.5m Adepole combination mast arm,Pole Main,Main,Main Condition
10.5m Adepole combination mast arm,Wifi Supply Point,Main,Main Condition
10.5m Adepole combination pole,Pole Main,Main,Main Condition
10.5m Adepole combination pole,Wifi Supply Point,Main,Main Condition
10.5m combination,Pole Main,Main,Main Condition
10.5m combination,Wifi Supply Point,Main,Main Condition
10.5m combination mast arm,Pole Main,Main,Main Condition
10.5m combination mast arm,Wifi Supply Point,Main,Main Condition
10.5m combination mast arm(CMA),Pole Main,Main,Main Condition
10.5m combination mast arm(CMA),Wifi Supply Point,Main,Main Condition
100,Conduit,Main,Main Condition
2 x 100,Conduit,Main,Main Condition
3 quarters pole,Pole Main,Main,Main Condition
40,Cable,Main,Main Condition
40,Conduit,Main,Main Condition
50,Conduit,Main,Main Condition
80,Conduit,Main,Main Condition
96 Core,Fibre,Main,Main Condition
9m combination,Pole Main,Main,Main Condition
9m combination,Wifi Supply Point,Main,Main Condition
9m combination mast arm (CMA),Pole Main,Main,Main Condition
9m combination mast arm (CMA),Wifi Supply Point,Main,Main Condition
ACC Type 3 - Aggregate,Super Structure Main,Main,Superstructure Condition
Accessible Junction Box,Lid,Lid,Main Condition
Accessible Junction Box,Stormwater Pit Main,Main,Main Condition
Accessible Ramp,Formation,04 Working Platform,Formation Condition
Accessible Ramp,Pavement Base,02 Intermediate Course,Pavement Base Condition
Accessible Ramp,Surface,01 Wearing Course,Surface Condition
Activity Hub,Softfall - Rubberised,Softfall,Softfall Surface Condition
Adelaide Bridge Fixing,LE Light Pole,LE Light Pole,LE Light Pole Condition
Adelaide Suite Style,Bollard Main,Main,Main Condition
Advisory Large Sign,Custom Sign Main,Main,Main Condition
Advisory Large Sign,Custom Sign Main,Main,Structural Compliance Condition
Advisory Large Sign,Custom Sign Main,Main,Structural Condition
Advisory Large Sign,Custom Sign Main,Main,Surface Damage Condition
Advisory Small Sign,Custom Sign Main,Main,Main Condition
Advisory Small Sign,Custom Sign Main,Main,Structural Compliance Condition
Advisory Small Sign,Custom Sign Main,Main,Structural Condition
Advisory Small Sign,Custom Sign Main,Main,Surface Damage Condition
Arbour Structure,Other Structures Main,Main,Main Condition
Archery Field,Archery Field Main,Main,Main Condition
Architectural Lighting Pole - 5.3m,LE Light Pole,LE Light Pole,LE Light Pole Condition
Architectural Lighting Pole - 9.0m,LE Light Pole,LE Light Pole,LE Light Pole Condition
Architectural Street Light,LE Luminaire,LE Luminaire,LE Luminaire Condition
Architectural Street Light,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Architectural Street Light,LE Luminaire Conduit,LE Luminaire Conduit,LE Luminaire Conduit Condition
Art,Playground Equipment Main,Main,Main Condition
Art Rack,Bike Rack Main,Main,Main Condition
Art Rack,Bike Rack Main,Main,Structural Compliance Condition
Art Rack,Bike Rack Main,Main,Structural Condition
Athletic Track,Athletic Track Main,Main,Main Condition
Audio Tactile,Audio Tactile,Audio Tactile,Audio Tactile Condition
Back Flow,Back Flow Main,Main,Main Condition
Back of Pole Light - Pendant,LE Luminaire,LE Luminaire,LE Luminaire Condition
Back of Pole Light - Street Light,LE Luminaire,LE Luminaire,LE Luminaire Condition
Back of Pole Light - Street Light - Prestige,LE Luminaire,LE Luminaire,LE Luminaire Condition
Back of Pole Light - Traffic,LE Luminaire,LE Luminaire,LE Luminaire Condition
Barrier Fencing,Fence Main,Main,Main Condition
Barrier Fencing,Fence Main,Main,Structural Compliance Condition
Barrier Fencing,Fence Main,Main,Structural Condition
Barrier Fencing,Fence Main,Main,Surface Damage Condition
Basketball Backboard,Other Structures Main,Main,Main Condition
Basketball Court,Basketball Court Main,Main,Main Condition
Basketball Court - Acrylic Surface ,Acrylic Surface,Main,Main Condition
Basketball Court - Acrylic Surface ,Asphalt Layer,Main,Main Condition
Basketball Court - Acrylic Surface ,Rubble Base,Main,Main Condition
Basketball Court - Asphalt Surface,Asphalt Layer,Main,Main Condition
Basketball Court - Asphalt Surface,Rubble Base,Main,Main Condition
Basketball Ring,Basketball Ring,Main,Main Condition
Bench,Picnic Table Main,Main,Main Condition
Bench,Picnic Table Main,Main,Structural Compliance Condition
Bench,Picnic Table Main,Main,Structural Condition
Bench,Picnic Table Main,Main,Surface Damage Condition
Bin Mounted Directional Sign,Custom Sign Main,Main,Main Condition
Bin Stand,Bin Main,Main,Main Condition
Bio-retention,Basins Main,Main,Main Condition
BioSeparator,Main,Main,Main Condition
BMX Track,BMX Track - Advanced,Main,Main Condition
BMX Track,BMX Track - Intermediate,Main,Main Condition
BMX Track,BMX Track - Pump Track,Main,Main Condition
BMX Track - Beginner,BMX Track - Beginner,Main,Main Condition
Boat Landing,Deck,Deck,Deck Condition
Boat Landing,Sub-Structure Main,Sub-Structure Main,Substructure Condition
Boat Landing,Super Structure Main,Super Structure Main,Superstructure Condition
Boat Ramp,Sub-Structure Main,Sub-Structure Main,Substructure Condition
Bollard,LE Light Pole,LE Light Pole,LE Light Pole Condition
Bollard Fence Linked,Fence Main,Main,Main Condition
Bollard Fence Linked,Fence Main,Main,Structural Compliance Condition
Bollard Fence Linked,Fence Main,Main,Structural Condition
